Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
1997-01-24,The Lighthouse 2,A compelling story about survival.,9.385362,9397,6.4,en,"Documentary, Drama",https://image.tmdb.org/t/p/original/60358.jpg
2007-04-08,The Lighthouse 4,A compelling story about discovery.,60.202429,16386,4.0,en,Action,https://image.tmdb.org/t/p/original/61566.jpg
1998-12-04,The Revenant 2,A compelling story about friendship.,26.334914,11289,5.1,en,Science Fiction,https://image.tmdb.org/t/p/original/15120.jpg
1995-10-14,David Byrne's American Utopia,A compelling story about adventure.,18.258851,27594,5.4,en,Mystery,https://image.tmdb.org/t/p/original/14425.jpg
1992-01-03,Tár,A compelling story about survival.,3.392497,12025,7.1,en,"TV Movie, Mystery",https://image.tmdb.org/t/p/original/33552.jpg
2003-04-17,Bardo,A compelling story about survival.,3.391926,7051,7.3,it,Science Fiction,https://image.tmdb.org/t/p/original/78091.jpg
1991-09-07,Top Gun: Maverick 2,A compelling story about adventure.,1.196775,21569,3.9,en,Comedy,https://image.tmdb.org/t/p/original/51082.jpg
2016-04-15,Joker,A compelling story about discovery.,40.224617,26200,7.0,fr,"War, Music, Drama",https://image.tmdb.org/t/p/original/52950.jpg
2007-01-25,The Eight Mountains,A compelling story about justice.,18.381643,17520,6.8,fr,"TV Movie, Fantasy",https://image.tmdb.org/t/p/original/17915.jpg
2000-12-14,Joker 3,A compelling story about family.,24.625001,20773,6.9,de,"Adventure, History, Thriller",https://image.tmdb.org/t/p/original/37341.jpg
2011-05-05,Close,A compelling story about war.,0.415986,8718,6.4,en,Music,https://image.tmdb.org/t/p/original/82808.jpg
2003-06-04,Cabrini 3,A compelling story about war.,70.07115,10867,7.3,en,"Science Fiction, Animation, Documentary",https://image.tmdb.org/t/p/original/46722.jpg
1995-07-04,The Revenant,A compelling story about justice.,35.728591,9503,7.6,en,"Horror, Mystery",https://image.tmdb.org/t/p/original/98931.jpg
2012-06-20,The Midnight Sky,A compelling story about survival.,4.773753,8062,4.2,en,"Mystery, Fantasy",https://image.tmdb.org/t/p/original/67537.jpg
2006-01-24,Darkest Hour 5,A compelling story about friendship.,4.01358,17005,6.1,hi,Romance,https://image.tmdb.org/t/p/original/20543.jpg
2019-09-04,The Holdovers,A compelling story about family.,4.052228,17143,5.9,ko,"Mystery, Western",https://image.tmdb.org/t/p/original/10856.jpg
2014-02-18,Avengers: Endgame 5,A compelling story about discovery.,7.255075,13590,5.5,en,"Science Fiction, Comedy",https://image.tmdb.org/t/p/original/65015.jpg
2008-11-20,Jojo Rabbit 2,A compelling story about survival.,14.878557,18250,5.7,en,"Science Fiction, Comedy",https://image.tmdb.org/t/p/original/77649.jpg
2013-10-07,Fallen Leaves,A compelling story about love.,11.310741,24985,6.4,hi,Comedy,https://image.tmdb.org/t/p/original/95198.jpg
1994-01-22,The Post,A compelling story about discovery.,6.88446,17920,4.6,en,Adventure,https://image.tmdb.org/t/p/original/91369.jpg
2004-05-03,Finding Nemo,A compelling story about justice.,18.927417,10226,7.0,en,"Action, Comedy",https://image.tmdb.org/t/p/original/74703.jpg
2004-02-13,Inside the Yellow Cocoon Shell,A compelling story about discovery.,3.004691,6239,5.8,en,"Action, Horror, TV Movie",https://image.tmdb.org/t/p/original/35354.jpg
2007-08-21,The Son,A compelling story about family.,6.91031,24905,7.2,fr,"Drama, Music, Romance",https://image.tmdb.org/t/p/original/19750.jpg
2013-03-12,Bardo,A compelling story about war.,9.125544,13353,5.5,hi,"Western, Documentary",https://image.tmdb.org/t/p/original/71357.jpg
2012-04-22,Uncut Gems,A compelling story about friendship.,12.178694,24921,5.4,ko,"Documentary, Music",https://image.tmdb.org/t/p/original/42454.jpg
2007-12-22,Little Women,A compelling story about friendship.,30.75872,2108,5.1,en,"Horror, Crime, Music",https://image.tmdb.org/t/p/original/66523.jpg
1994-10-21,Corsage,A compelling story about friendship.,4.454717,15448,5.5,fr,"Romance, Animation",https://image.tmdb.org/t/p/original/68707.jpg
2000-09-24,Pieces of a Woman 4,A compelling story about friendship.,14.440583,7875,5.2,en,"Action, Family",https://image.tmdb.org/t/p/original/29533.jpg
2005-03-15,Priscilla,A compelling story about war.,17.950094,16567,6.7,en,Music,https://image.tmdb.org/t/p/original/42644.jpg
2014-05-21,Preparations to Be Together,A compelling story about adventure.,0.951277,12221,7.5,en,"TV Movie, Fantasy, Adventure",https://image.tmdb.org/t/p/original/20328.jpg
2004-11-11,Close,A compelling story about friendship.,18.70666,26227,6.7,hi,"Romance, Animation, TV Movie",https://image.tmdb.org/t/p/original/17625.jpg
1993-04-27,Never Rarely Sometimes Always,A compelling story about justice.,3.739225,510,6.1,en,"TV Movie, Drama",https://image.tmdb.org/t/p/original/98229.jpg
1992-06-13,Saltburn,A compelling story about adventure.,1.345279,3656,6.8,en,Fantasy,https://image.tmdb.org/t/p/original/25749.jpg
2007-02-07,Manchester by the Sea,A compelling story about survival.,59.473756,22613,6.2,en,Fantasy,https://image.tmdb.org/t/p/original/13978.jpg
2010-04-21,One Night in Miami,A compelling story about friendship.,67.412607,18757,6.2,pt,Documentary,https://image.tmdb.org/t/p/original/91679.jpg
2021-07-21,Tár 5,A compelling story about family.,33.046631,10058,5.8,de,"Thriller, War, Music",https://image.tmdb.org/t/p/original/47926.jpg
2019-03-09,EO,A compelling story about friendship.,7.265757,23934,7.2,fr,Crime,https://image.tmdb.org/t/p/original/56313.jpg
1998-04-24,Happening,A compelling story about love.,2.055546,11354,3.1,en,Action,https://image.tmdb.org/t/p/original/85673.jpg
2006-12-19,Anatomy of a Fall,A compelling story about survival.,23.055015,18290,3.6,es,Family,https://image.tmdb.org/t/p/original/70908.jpg
2017-10-13,Showing Up,A compelling story about discovery.,11.601817,22153,7.4,de,Western,https://image.tmdb.org/t/p/original/56526.jpg
2013-04-05,Wild Rose,A compelling story about discovery.,2.603045,9920,6.0,zh,"Western, Drama, Action",https://image.tmdb.org/t/p/original/96835.jpg
2022-08-03,Evil Does Not Exist 5,A compelling story about war.,13.670945,1788,7.3,en,"Action, Fantasy, Western",https://image.tmdb.org/t/p/original/23620.jpg
1993-02-05,Evil Does Not Exist,A compelling story about justice.,0.699874,12994,5.5,en,Family,https://image.tmdb.org/t/p/original/42693.jpg
