Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,vote_category
1997,The Lighthouse 2,9.385362,9397,6.4,Documentary,Average
1997,The Lighthouse 2,9.385362,9397,6.4,Drama,Average
2007,The Lighthouse 4,60.202429,16386,4.0,Action,Poor
1998,The Revenant 2,26.334914,11289,5.1,Science Fiction,Below Average
1995,David Byrne's American Utopia,18.258851,27594,5.4,Mystery,Below Average
1992,Tár,3.392497,12025,7.1,TV Movie,Good
1992,Tár,3.392497,12025,7.1,Mystery,Good
2003,Bardo,3.391926,7051,7.3,Science Fiction,Good
1991,Top Gun: Maverick 2,1.196775,21569,3.9,Comedy,Very Poor
2016,Joker,40.224617,26200,7.0,War,Good
2016,Joker,40.224617,26200,7.0,Music,Good
2016,Joker,40.224617,26200,7.0,Drama,Good
2007,The Eight Mountains,18.381643,17520,6.8,TV Movie,Average
2007,The Eight Mountains,18.381643,17520,6.8,Fantasy,Average
2000,Joker 3,24.625001,20773,6.9,Adventure,Average
2000,Joker 3,24.625001,20773,6.9,History,Average
2000,Joker 3,24.625001,20773,6.9,Thriller,Average
2011,Close,0.415986,8718,6.4,Music,Average
2003,Cabrini 3,70.07115,10867,7.3,Science Fiction,Good
2003,Cabrini 3,70.07115,10867,7.3,Animation,Good
2003,Cabrini 3,70.07115,10867,7.3,Documentary,Good
1995,The Revenant,35.728591,9503,7.6,Horror,Good
1995,The Revenant,35.728591,9503,7.6,Mystery,Good
2012,The Midnight Sky,4.773753,8062,4.2,Mystery,Poor
2012,The Midnight Sky,4.773753,8062,4.2,Fantasy,Poor
2006,Darkest Hour 5,4.01358,17005,6.1,Romance,Average
2019,The Holdovers,4.052228,17143,5.9,Mystery,Below Average
2019,The Holdovers,4.052228,17143,5.9,Western,Below Average
2014,Avengers: Endgame 5,7.255075,13590,5.5,Science Fiction,Below Average
2014,Avengers: Endgame 5,7.255075,13590,5.5,Comedy,Below Average
2008,Jojo Rabbit 2,14.878557,18250,5.7,Science Fiction,Below Average
2008,Jojo Rabbit 2,14.878557,18250,5.7,Comedy,Below Average
2013,Fallen Leaves,11.310741,24985,6.4,Comedy,Average
1994,The Post,6.88446,17920,4.6,Adventure,Poor
2004,Finding Nemo,18.927417,10226,7.0,Action,Good
2004,Finding Nemo,18.927417,10226,7.0,Comedy,Good
2004,Inside the Yellow Cocoon Shell,3.004691,6239,5.8,Action,Below Average
2004,Inside the Yellow Cocoon Shell,3.004691,6239,5.8,Horror,Below Average
2004,Inside the Yellow Cocoon Shell,3.004691,6239,5.8,TV Movie,Below Average
2007,The Son,6.91031,24905,7.2,Drama,Good
2007,The Son,6.91031,24905,7.2,Music,Good
2007,The Son,6.91031,24905,7.2,Romance,Good
2013,Bardo,9.125544,13353,5.5,Western,Below Average
2013,Bardo,9.125544,13353,5.5,Documentary,Below Average
2012,Uncut Gems,12.178694,24921,5.4,Documentary,Below Average
2012,Uncut Gems,12.178694,24921,5.4,Music,Below Average
2007,Little Women,30.75872,2108,5.1,Horror,Below Average
2007,Little Women,30.75872,2108,5.1,Crime,Below Average
2007,Little Women,30.75872,2108,5.1,Music,Below Average
1994,Corsage,4.454717,15448,5.5,Romance,Below Average
1994,Corsage,4.454717,15448,5.5,Animation,Below Average
2000,Pieces of a Woman 4,14.440583,7875,5.2,Action,Below Average
2000,Pieces of a Woman 4,14.440583,7875,5.2,Family,Below Average
2005,Priscilla,17.950094,16567,6.7,Music,Average
2014,Preparations to Be Together,0.951277,12221,7.5,TV Movie,Good
2014,Preparations to Be Together,0.951277,12221,7.5,Fantasy,Good
2014,Preparations to Be Together,0.951277,12221,7.5,Adventure,Good
2004,Close,18.70666,26227,6.7,Romance,Average
2004,Close,18.70666,26227,6.7,Animation,Average
2004,Close,18.70666,26227,6.7,TV Movie,Average
1993,Never Rarely Sometimes Always,3.739225,510,6.1,TV Movie,Average
1993,Never Rarely Sometimes Always,3.739225,510,6.1,Drama,Average
1992,Saltburn,1.345279,3656,6.8,Fantasy,Average
2007,Manchester by the Sea,59.473756,22613,6.2,Fantasy,Average
2010,One Night in Miami,67.412607,18757,6.2,Documentary,Average
2021,Tár 5,33.046631,10058,5.8,Thriller,Below Average
2021,Tár 5,33.046631,10058,5.8,War,Below Average
2021,Tár 5,33.046631,10058,5.8,Music,Below Average
2019,EO,7.265757,23934,7.2,Crime,Good
1998,Happening,2.055546,11354,3.1,Action,Very Poor
2006,Anatomy of a Fall,23.055015,18290,3.6,Family,Very Poor
2017,Showing Up,11.601817,22153,7.4,Western,Good
2013,Wild Rose,2.603045,9920,6.0,Western,Average
2013,Wild Rose,2.603045,9920,6.0,Drama,Average
2013,Wild Rose,2.603045,9920,6.0,Action,Average
2022,Evil Does Not Exist 5,13.670945,1788,7.3,Action,Good
2022,Evil Does Not Exist 5,13.670945,1788,7.3,Fantasy,Good
2022,Evil Does Not Exist 5,13.670945,1788,7.3,Western,Good
1993,Evil Does Not Exist,0.699874,12994,5.5,Family,Below Average
2000,Borat Subsequent Moviefilm 4,48.008458,19451,8.2,Romance,Excellent
2000,Borat Subsequent Moviefilm 4,48.008458,19451,8.2,Music,Excellent
1994,Babylon,5.989156,29413,6.0,History,Average
1994,Babylon,5.989156,29413,6.0,Action,Average
1994,Babylon,5.989156,29413,6.0,Comedy,Average
2019,Rocketman,21.725116,5200,6.7,Adventure,Average
2019,Rocketman,21.725116,5200,6.7,Horror,Average
1990,Nope,7.470932,15314,5.7,Horror,Below Average
1990,Nope,7.470932,15314,5.7,Action,Below Average
1997,Titanic,14.682218,7007,5.1,Music,Below Average
2007,"I, Tonya 5",15.824476,27299,4.1,War,Poor
2007,"I, Tonya 5",15.824476,27299,4.1,Thriller,Poor
1997,The Boy and the Heron,4.087772,12030,7.1,Adventure,Good
2000,Doctor Strange in the Multiverse of Madness 2,69.856143,4757,6.7,Horror,Average
2000,Doctor Strange in the Multiverse of Madness 2,69.856143,4757,6.7,Adventure,Average
2000,Doctor Strange in the Multiverse of Madness 2,69.856143,4757,6.7,Crime,Average
2006,Cold War,29.844908,9296,6.3,Science Fiction,Average
2006,Cold War,29.844908,9296,6.3,Action,Average
2006,Cold War,29.844908,9296,6.3,Fantasy,Average
2001,Anatomy of a Fall,56.101888,55,4.8,Drama,Poor
